event,ADM_CD,SIDO,SIGUNGU,EMD,positive,mean_prob,p90_prob,unit_area_m2,pixel_count
yecheon_2023,37080370,경상북도,경상북도 상주시,내서면,0,0.4678752187876646,1.0,80541746.12641661,89421
yecheon_2023,37080380,경상북도,경상북도 상주시,모동면,0,0.745006130874895,1.0,70658279.84046513,66868
yecheon_2023,37080390,경상북도,경상북도 상주시,모서면,0,0.6788369641057185,1.0,84569226.47100984,93875
yecheon_2023,37080400,경상북도,경상북도 상주시,화동면,0,0.7461432603438152,1.0,56158207.97019771,62348
yecheon_2023,37080410,경상북도,경상북도 상주시,화서면,0,0.39864715847404425,1.0,59467292.24926155,66024
yecheon_2023,37080420,경상북도,경상북도 상주시,화북면,0,0.3637346460403654,1.0,98990608.78659712,109906
yecheon_2023,37080430,경상북도,경상북도 상주시,외서면,0,0.3705600145573499,1.0,88201366.76539826,97926
yecheon_2023,37520370,경상북도,경상북도 의성군,금성면,0,0.6933725015973005,1.0,73619353.16810906,20169
yecheon_2023,37520380,경상북도,경상북도 의성군,봉양면,0,0.8411592757327697,1.0,67096359.49440494,67844
yecheon_2023,37520390,경상북도,경상북도 의성군,비안면,0,0.8386869511782573,1.0,65381925.68588101,72564
yecheon_2023,37520400,경상북도,경상북도 의성군,구천면,0,0.8978541983634151,1.0,43679341.59245112,48490
yecheon_2023,37520410,경상북도,경상북도 의성군,단밀면,0,0.8359145625018719,1.0,53743510.299609445,59646
yecheon_2023,37520440,경상북도,경상북도 의성군,다인면,0,0.8864673214658682,1.0,89679854.34921847,99542
yecheon_2023,37520450,경상북도,경상북도 의성군,신평면,0,0.8535903061615453,1.0,55681334.19185826,61783
yecheon_2023,37520460,경상북도,경상북도 의성군,안평면,0,0.8390256867263524,1.0,101066239.20211346,112151
yecheon_2023,37520470,경상북도,경상북도 의성군,안사면,0,0.8651815157272821,1.0,61665930.58135819,68451
yecheon_2023,37530340,경상북도,경상북도 청송군,현서면,0,0.28736491170499406,1.0,112641656.2680926,8550
yecheon_2023,37090610,경상북도,경상북도 문경시,점촌5동,0,0.7642077455702107,1.0,2045914.5279568033,2272
yecheon_2023,37600110,경상북도,경상북도 예천군,예천읍,0,0.5148782970750861,1.0,47716153.89658352,52957
yecheon_2023,37600310,경상북도,경상북도 예천군,용문면,1,0.33396352785079286,1.0,71311492.55851758,79129
yecheon_2023,37600340,경상북도,경상북도 예천군,감천면,1,0.3202925246603015,1.0,65541802.10478804,72746
yecheon_2023,37600350,경상북도,경상북도 예천군,보문면,0,0.35904079157816515,1.0,65362706.36470542,72539
yecheon_2023,37600121,경상북도,경상북도 예천군,호명읍,0,0.6077395685655377,1.0,62639337.38297375,69531
yecheon_2023,37600370,경상북도,경상북도 예천군,유천면,0,0.4821965044900982,1.0,38755034.73705751,43032
yecheon_2023,37600380,경상북도,경상북도 예천군,용궁면,0,0.6203714433504399,1.0,32024590.43311108,35537
yecheon_2023,37600390,경상북도,경상북도 예천군,개포면,0,0.5695846940223606,1.0,36397254.44904844,40404
yecheon_2023,37600400,경상북도,경상북도 예천군,지보면,0,0.6185505507830042,1.0,79867985.7488486,88613
yecheon_2023,37600410,경상북도,경상북도 예천군,풍양면,0,0.7322010298690877,1.0,63674207.975324646,70676
yecheon_2023,37600420,경상북도,경상북도 예천군,효자면,1,0.29055399596490505,1.0,67068693.51590796,74459
yecheon_2023,37600430,경상북도,경상북도 예천군,은풍면,1,0.3161838119467307,1.0,34516221.24856098,38300
yecheon_2023,37610110,경상북도,경상북도 봉화군,봉화읍,0,0.31832525903245923,1.0,74794188.28059898,82980
yecheon_2023,37610310,경상북도,경상북도 봉화군,물야면,0,0.2630848037437363,1.0,109595797.17567362,116056
yecheon_2023,37610320,경상북도,경상북도 봉화군,봉성면,0,0.32915967272653973,1.0,66599391.240005806,73876
yecheon_2023,37610330,경상북도,경상북도 봉화군,법전면,0,0.20722346586491136,0.9800000190734863,70519200.90821068,39308
yecheon_2023,37610340,경상북도,경상북도 봉화군,춘양면,0,0.16635087024945155,0.7300000190734863,167789711.75497466,107316
yecheon_2023,33570310,충청북도,충청북도 음성군,소이면,0,0.6008952707965663,1.0,48749814.481054634,54140
yecheon_2023,33570320,충청북도,충청북도 음성군,원남면,0,0.4422564215183288,1.0,64535617.50313749,71671
yecheon_2023,33570330,충청북도,충청북도 음성군,맹동면,0,0.9252899692065886,1.0,34610868.54956326,13898
yecheon_2023,33570360,충청북도,충청북도 음성군,생극면,0,0.03276610485409457,0.009999999776482582,55951951.46582008,12993
