event,ADM_CD,SIDO,SIGUNGU,EMD,positive,mean_prob,p90_prob,unit_area_m2,pixel_count
chuncheon_2020,32010650,강원도,강원도 춘천시,효자3동,0,0.7229192545271129,1.0,434803.3933463853,483
chuncheon_2020,32010710,강원도,강원도 춘천시,신사우동,0,0.935620166898146,1.0,11636776.80721937,12932
chuncheon_2020,32510380,강원도,강원도 홍천군,북방면,0,0.7175657933088089,1.0,145934177.78322268,70105
chuncheon_2020,32010320,강원도,강원도 춘천시,동산면,1,0.7349615926218708,1.0,80667725.47548561,89568
chuncheon_2020,32010330,강원도,강원도 춘천시,신동면,0,0.7020826138336689,1.0,48102344.41514963,53404
chuncheon_2020,32010340,강원도,강원도 춘천시,동내면,0,0.6692455512787957,1.0,36604997.89132944,40639
chuncheon_2020,32010350,강원도,강원도 춘천시,남면,1,0.758225625905149,1.0,73223978.66200748,38825
chuncheon_2020,32010360,강원도,강원도 춘천시,남산면,1,0.7652569200839348,1.0,124001877.04233459,81114
chuncheon_2020,32010370,강원도,강원도 춘천시,서면,1,0.6272301069661654,1.0,142052692.43955892,151811
chuncheon_2020,32010380,강원도,강원도 춘천시,사북면,1,0.2985233314006917,1.0,152339628.97900534,96799
chuncheon_2020,32010390,강원도,강원도 춘천시,북산면,0,0.748533641336027,1.0,214055790.62702817,192695
chuncheon_2020,32580110,강원도,강원도 양구군,양구읍,0,0.0,0.0,173532404.00882235,1930
chuncheon_2020,32010600,강원도,강원도 춘천시,후평1동,0,0.7952711107871598,1.0,2032400.8596666735,2250
chuncheon_2020,32010640,강원도,강원도 춘천시,효자2동,0,0.6695581170230188,1.0,1876705.4147123434,2082
chuncheon_2020,32010660,강원도,강원도 춘천시,석사동,0,0.6533666585213264,1.0,3879997.020611336,4301
chuncheon_2020,32010670,강원도,강원도 춘천시,퇴계동,0,0.6580370206015407,1.0,4177032.707337621,4646
chuncheon_2020,31570110,경기도,경기도 가평군,가평읍,0,0.39182010104146636,1.0,145120535.55333826,4736
chuncheon_2020,32010310,강원도,강원도 춘천시,동면,1,0.8439211835868454,1.0,134149354.14272034,148955
chuncheon_2020,32510110,강원도,강원도 홍천군,홍천읍,0,0.6935220747337841,1.0,107129505.49851602,5775
chuncheon_2020,32510310,강원도,강원도 홍천군,화촌면,0,0.6552423232053256,1.0,210217493.05527765,114413
chuncheon_2020,32510320,강원도,강원도 홍천군,두촌면,0,0.8381637037557232,1.0,140182823.9189742,5119
chuncheon_2020,32510370,강원도,강원도 홍천군,서면,0,1.0,1.0,124005780.64814283,168
chuncheon_2020,31570350,경기도,경기도 가평군,북면,0,0.4496700005167431,1.0,229862359.94079712,26394
chuncheon_2020,32010110,강원도,강원도 춘천시,신북읍,0,0.7103371559132021,1.0,57077836.70485611,63383
chuncheon_2020,32570310,강원도,강원도 화천군,간동면,0,0.013668151717319676,0.0,127918313.63921474,14814
chuncheon_2020,32010680,강원도,강원도 춘천시,강남동,0,0.6533566599033163,1.0,14791549.296614576,16433
