event_id,event,label_source,threshold,quadrant,variable,units,probability_raster,label_raster,terrain_source,n,mean,median,q05,q10,q25,q75,q90,q95
yecheon_2023,Yecheon 2023,Sentinel scar label,0.5,TN,slope_degrees,degrees,REPO_ROOT/out/extreme_rainfall_2023/prob_unstable.tif,REPO_ROOT/out/extreme_rainfall_2023/consensus_label.tif,REPO_ROOT/out/extreme_rainfall_2023/dem_utm.tif,4886520,19.473756790161133,19.509780883789062,5.053288888931275,7.93186149597168,13.350793600082397,25.35332489013672,30.35981063842774,33.19206657409668
yecheon_2023,Yecheon 2023,Sentinel scar label,0.5,TN,elevation_m,m,REPO_ROOT/out/extreme_rainfall_2023/prob_unstable.tif,REPO_ROOT/out/extreme_rainfall_2023/consensus_label.tif,REPO_ROOT/out/extreme_rainfall_2023/dem_utm.tif,4886520,328.8364562988281,281.51251220703125,96.15436134338378,126.3760482788086,188.5736961364746,424.3309631347656,608.4450256347657,729.2918365478513
yecheon_2023,Yecheon 2023,NIDR-only pixel label,0.5,TP,slope_degrees,degrees,REPO_ROOT/out/extreme_rainfall_2023/prob_unstable.tif,REPO_ROOT/out/extreme_rainfall_2023/consensus_label_variant_B.tif,REPO_ROOT/out/extreme_rainfall_2023/dem_utm.tif,153,10.591086387634277,9.427406311035156,0.4108104586601258,0.7437115311622621,2.7316343784332275,17.43428611755371,22.5560546875,25.72410659790039
yecheon_2023,Yecheon 2023,NIDR-only pixel label,0.5,TP,elevation_m,m,REPO_ROOT/out/extreme_rainfall_2023/prob_unstable.tif,REPO_ROOT/out/extreme_rainfall_2023/consensus_label_variant_B.tif,REPO_ROOT/out/extreme_rainfall_2023/dem_utm.tif,153,221.8191375732422,191.00120544433594,75.30216217041016,86.81782989501953,140.22723388671875,270.0154724121094,352.46342773437505,515.5023071289063
yecheon_2023,Yecheon 2023,NIDR-only pixel label,0.5,FN,slope_degrees,degrees,REPO_ROOT/out/extreme_rainfall_2023/prob_unstable.tif,REPO_ROOT/out/extreme_rainfall_2023/consensus_label_variant_B.tif,REPO_ROOT/out/extreme_rainfall_2023/dem_utm.tif,78,16.796592712402344,17.121421813964844,5.544300937652588,6.712934732437134,11.700578212738037,22.14598560333252,24.68697910308838,25.188243579864498
yecheon_2023,Yecheon 2023,NIDR-only pixel label,0.5,FN,elevation_m,m,REPO_ROOT/out/extreme_rainfall_2023/prob_unstable.tif,REPO_ROOT/out/extreme_rainfall_2023/consensus_label_variant_B.tif,REPO_ROOT/out/extreme_rainfall_2023/dem_utm.tif,78,231.88536071777344,212.55602264404297,85.1545295715332,95.6406982421875,151.35203552246094,276.6776428222656,336.1418304443359,412.9873107910141
yecheon_2023,Yecheon 2023,NIDR-only pixel label,0.5,FP,slope_degrees,degrees,REPO_ROOT/out/extreme_rainfall_2023/prob_unstable.tif,REPO_ROOT/out/extreme_rainfall_2023/consensus_label_variant_B.tif,REPO_ROOT/out/extreme_rainfall_2023/dem_utm.tif,6132114,14.791420936584473,13.861305236816406,0.2423363476991654,0.8523383140563966,3.8851046562194824,23.631500720977783,30.81656150817871,34.273637199401854
yecheon_2023,Yecheon 2023,NIDR-only pixel label,0.5,FP,elevation_m,m,REPO_ROOT/out/extreme_rainfall_2023/prob_unstable.tif,REPO_ROOT/out/extreme_rainfall_2023/consensus_label_variant_B.tif,REPO_ROOT/out/extreme_rainfall_2023/dem_utm.tif,6132114,243.20704650878906,206.509765625,57.40658550262451,73.87722396850586,125.97039413452148,317.6983184814453,454.2494201660156,570.2731140136718
yecheon_2023,Yecheon 2023,NIDR-only pixel label,0.5,TN,slope_degrees,degrees,REPO_ROOT/out/extreme_rainfall_2023/prob_unstable.tif,REPO_ROOT/out/extreme_rainfall_2023/consensus_label_variant_B.tif,REPO_ROOT/out/extreme_rainfall_2023/dem_utm.tif,4981175,19.56777572631836,19.61666488647461,5.117780685424806,8.010176658630371,13.448265552520752,25.46482753753662,30.462300872802736,33.27970542907714
yecheon_2023,Yecheon 2023,NIDR-only pixel label,0.5,TN,elevation_m,m,REPO_ROOT/out/extreme_rainfall_2023/prob_unstable.tif,REPO_ROOT/out/extreme_rainfall_2023/consensus_label_variant_B.tif,REPO_ROOT/out/extreme_rainfall_2023/dem_utm.tif,4981175,332.6856994628906,283.7126159667969,96.78073654174806,127.37195129394532,189.92401123046875,428.1070861816406,616.9706176757813,741.5279235839844
