event_id,event,label_source,decile,elevation_min_m,elevation_max_m,elevation_mean_m,mean_model_probability,observed_scar_rate,pixel_count,binning_rule,probability_raster,label_raster,elevation_raster
yecheon_2023,Yecheon 2023,Sentinel scar label,4,167.141357421875,203.4001007080078,185.16384887695312,0.5413060188293457,0.0119251146351471,1111352,10 equal-count elevation bins within each event AOI using valid pixels sorted by dem_utm.tif elevation,REPO_ROOT/out/extreme_rainfall_2023/prob_unstable.tif,REPO_ROOT/out/extreme_rainfall_2023/consensus_label.tif,REPO_ROOT/out/extreme_rainfall_2023/dem_utm.tif
yecheon_2023,Yecheon 2023,Sentinel scar label,5,203.40013122558594,241.1204833984375,222.1385955810547,0.5072590708732605,0.01647362851733744,1111352,10 equal-count elevation bins within each event AOI using valid pixels sorted by dem_utm.tif elevation,REPO_ROOT/out/extreme_rainfall_2023/prob_unstable.tif,REPO_ROOT/out/extreme_rainfall_2023/consensus_label.tif,REPO_ROOT/out/extreme_rainfall_2023/dem_utm.tif
yecheon_2023,Yecheon 2023,Sentinel scar label,6,241.12054443359375,282.6364440917969,261.3185119628906,0.49969062209129333,0.01730684787538062,1111352,10 equal-count elevation bins within each event AOI using valid pixels sorted by dem_utm.tif elevation,REPO_ROOT/out/extreme_rainfall_2023/prob_unstable.tif,REPO_ROOT/out/extreme_rainfall_2023/consensus_label.tif,REPO_ROOT/out/extreme_rainfall_2023/dem_utm.tif
yecheon_2023,Yecheon 2023,Sentinel scar label,7,282.6364440917969,334.17596435546875,307.31365966796875,0.49047932028770447,0.018803223461153623,1111352,10 equal-count elevation bins within each event AOI using valid pixels sorted by dem_utm.tif elevation,REPO_ROOT/out/extreme_rainfall_2023/prob_unstable.tif,REPO_ROOT/out/extreme_rainfall_2023/consensus_label.tif,REPO_ROOT/out/extreme_rainfall_2023/dem_utm.tif
yecheon_2023,Yecheon 2023,Sentinel scar label,8,334.17596435546875,406.2619323730469,367.7617492675781,0.45930758118629456,0.017950208394820002,1111352,10 equal-count elevation bins within each event AOI using valid pixels sorted by dem_utm.tif elevation,REPO_ROOT/out/extreme_rainfall_2023/prob_unstable.tif,REPO_ROOT/out/extreme_rainfall_2023/consensus_label.tif,REPO_ROOT/out/extreme_rainfall_2023/dem_utm.tif
yecheon_2023,Yecheon 2023,Sentinel scar label,9,406.26202392578125,537.5376586914062,463.28814697265625,0.4126855432987213,0.017629877842483748,1111352,10 equal-count elevation bins within each event AOI using valid pixels sorted by dem_utm.tif elevation,REPO_ROOT/out/extreme_rainfall_2023/prob_unstable.tif,REPO_ROOT/out/extreme_rainfall_2023/consensus_label.tif,REPO_ROOT/out/extreme_rainfall_2023/dem_utm.tif
yecheon_2023,Yecheon 2023,Sentinel scar label,10,537.5381469726562,1434.511474609375,707.9117431640625,0.3464558720588684,0.04943978145538047,1111352,10 equal-count elevation bins within each event AOI using valid pixels sorted by dem_utm.tif elevation,REPO_ROOT/out/extreme_rainfall_2023/prob_unstable.tif,REPO_ROOT/out/extreme_rainfall_2023/consensus_label.tif,REPO_ROOT/out/extreme_rainfall_2023/dem_utm.tif
chuncheon_2020,Chuncheon 2020,Sentinel scar label,1,0.0,99.70758056640625,58.7896614074707,0.8511520624160767,0.014199426943194355,125991,10 equal-count elevation bins within each event AOI using valid pixels sorted by dem_utm.tif elevation,REPO_ROOT/out/chuncheon_2020/prob_unstable.tif,REPO_ROOT/out/chuncheon_2020/consensus_label.tif,REPO_ROOT/out/chuncheon_2020/dem_utm.tif
chuncheon_2020,Chuncheon 2020,Sentinel scar label,2,99.7082748413086,150.26759338378906,124.30873107910156,0.6585569977760315,0.007167178607995809,125991,10 equal-count elevation bins within each event AOI using valid pixels sorted by dem_utm.tif elevation,REPO_ROOT/out/chuncheon_2020/prob_unstable.tif,REPO_ROOT/out/chuncheon_2020/consensus_label.tif,REPO_ROOT/out/chuncheon_2020/dem_utm.tif
chuncheon_2020,Chuncheon 2020,Sentinel scar label,3,150.26821899414062,190.07687377929688,173.6806182861328,0.6943391561508179,0.006135358874840267,125991,10 equal-count elevation bins within each event AOI using valid pixels sorted by dem_utm.tif elevation,REPO_ROOT/out/chuncheon_2020/prob_unstable.tif,REPO_ROOT/out/chuncheon_2020/consensus_label.tif,REPO_ROOT/out/chuncheon_2020/dem_utm.tif
chuncheon_2020,Chuncheon 2020,Sentinel scar label,4,190.07728576660156,236.84063720703125,213.8345184326172,0.6727213263511658,0.005921057853338731,125991,10 equal-count elevation bins within each event AOI using valid pixels sorted by dem_utm.tif elevation,REPO_ROOT/out/chuncheon_2020/prob_unstable.tif,REPO_ROOT/out/chuncheon_2020/consensus_label.tif,REPO_ROOT/out/chuncheon_2020/dem_utm.tif
chuncheon_2020,Chuncheon 2020,Sentinel scar label,5,236.84072875976562,280.87017822265625,258.8716735839844,0.6768499612808228,0.007460909595999683,125990,10 equal-count elevation bins within each event AOI using valid pixels sorted by dem_utm.tif elevation,REPO_ROOT/out/chuncheon_2020/prob_unstable.tif,REPO_ROOT/out/chuncheon_2020/consensus_label.tif,REPO_ROOT/out/chuncheon_2020/dem_utm.tif
chuncheon_2020,Chuncheon 2020,Sentinel scar label,6,280.8706359863281,326.125244140625,303.2234802246094,0.6666494607925415,0.00955631399317406,125990,10 equal-count elevation bins within each event AOI using valid pixels sorted by dem_utm.tif elevation,REPO_ROOT/out/chuncheon_2020/prob_unstable.tif,REPO_ROOT/out/chuncheon_2020/consensus_label.tif,REPO_ROOT/out/chuncheon_2020/dem_utm.tif
chuncheon_2020,Chuncheon 2020,Sentinel scar label,7,326.1258544921875,378.0428161621094,351.27752685546875,0.6666514873504639,0.013445511548535597,125990,10 equal-count elevation bins within each event AOI using valid pixels sorted by dem_utm.tif elevation,REPO_ROOT/out/chuncheon_2020/prob_unstable.tif,REPO_ROOT/out/chuncheon_2020/consensus_label.tif,REPO_ROOT/out/chuncheon_2020/dem_utm.tif
chuncheon_2020,Chuncheon 2020,Sentinel scar label,8,378.0433349609375,445.6568603515625,409.907958984375,0.6555874347686768,0.015032939122152552,125990,10 equal-count elevation bins within each event AOI using valid pixels sorted by dem_utm.tif elevation,REPO_ROOT/out/chuncheon_2020/prob_unstable.tif,REPO_ROOT/out/chuncheon_2020/consensus_label.tif,REPO_ROOT/out/chuncheon_2020/dem_utm.tif
chuncheon_2020,Chuncheon 2020,Sentinel scar label,9,445.65771484375,544.413818359375,491.56732177734375,0.6413256525993347,0.016088578458607825,125990,10 equal-count elevation bins within each event AOI using valid pixels sorted by dem_utm.tif elevation,REPO_ROOT/out/chuncheon_2020/prob_unstable.tif,REPO_ROOT/out/chuncheon_2020/consensus_label.tif,REPO_ROOT/out/chuncheon_2020/dem_utm.tif
chuncheon_2020,Chuncheon 2020,Sentinel scar label,10,544.4158935546875,1007.1763305664062,641.4057006835938,0.6053089499473572,0.028581633462973252,125990,10 equal-count elevation bins within each event AOI using valid pixels sorted by dem_utm.tif elevation,REPO_ROOT/out/chuncheon_2020/prob_unstable.tif,REPO_ROOT/out/chuncheon_2020/consensus_label.tif,REPO_ROOT/out/chuncheon_2020/dem_utm.tif
