event,ADM_CD,SIDO,SIGUNGU,EMD,label_source,positive,mean_prob,pixel_count
yecheon_2023,37080410,경상북도,경상북도 상주시,화서면,Sentinel scar label,1,0.39864715847404425,66024
yecheon_2023,37080420,경상북도,경상북도 상주시,화북면,Sentinel scar label,1,0.3637346460403654,109906
yecheon_2023,37080430,경상북도,경상북도 상주시,외서면,Sentinel scar label,1,0.3705600145573499,97926
yecheon_2023,37520370,경상북도,경상북도 의성군,금성면,Sentinel scar label,1,0.6933725015973005,20169
yecheon_2023,37520380,경상북도,경상북도 의성군,봉양면,Sentinel scar label,1,0.8411592757327697,67844
yecheon_2023,37520390,경상북도,경상북도 의성군,비안면,Sentinel scar label,1,0.8386869511782573,72564
yecheon_2023,37520400,경상북도,경상북도 의성군,구천면,Sentinel scar label,1,0.8978541983634151,48490
yecheon_2023,37520410,경상북도,경상북도 의성군,단밀면,Sentinel scar label,1,0.8359145625018719,59646
yecheon_2023,37520440,경상북도,경상북도 의성군,다인면,Sentinel scar label,1,0.8864673214658682,99542
yecheon_2023,37520450,경상북도,경상북도 의성군,신평면,Sentinel scar label,1,0.8535903061615453,61783
yecheon_2023,37520460,경상북도,경상북도 의성군,안평면,Sentinel scar label,1,0.8390256867263524,112151
yecheon_2023,37520470,경상북도,경상북도 의성군,안사면,Sentinel scar label,1,0.8651815157272821,68451
yecheon_2023,37530340,경상북도,경상북도 청송군,현서면,Sentinel scar label,0,0.28736491170499406,8550
yecheon_2023,37090610,경상북도,경상북도 문경시,점촌5동,Sentinel scar label,0,0.7642077455702107,2272
yecheon_2023,37600110,경상북도,경상북도 예천군,예천읍,Sentinel scar label,1,0.5148782970750861,52957
yecheon_2023,37600310,경상북도,경상북도 예천군,용문면,Sentinel scar label,1,0.33396352785079286,79129
yecheon_2023,37600340,경상북도,경상북도 예천군,감천면,Sentinel scar label,1,0.3202925246603015,72746
yecheon_2023,37600350,경상북도,경상북도 예천군,보문면,Sentinel scar label,1,0.35904079157816515,72539
yecheon_2023,37600121,경상북도,경상북도 예천군,호명읍,Sentinel scar label,1,0.6077395685655377,69531
yecheon_2023,37600370,경상북도,경상북도 예천군,유천면,Sentinel scar label,1,0.4821965044900982,43032
yecheon_2023,37600380,경상북도,경상북도 예천군,용궁면,Sentinel scar label,1,0.6203714433504399,35537
yecheon_2023,37600390,경상북도,경상북도 예천군,개포면,Sentinel scar label,1,0.5695846940223606,40404
yecheon_2023,37600400,경상북도,경상북도 예천군,지보면,Sentinel scar label,1,0.6185505507830042,88613
yecheon_2023,37600410,경상북도,경상북도 예천군,풍양면,Sentinel scar label,1,0.7322010298690877,70676
yecheon_2023,37600420,경상북도,경상북도 예천군,효자면,Sentinel scar label,1,0.29055399596490505,74459
yecheon_2023,37600430,경상북도,경상북도 예천군,은풍면,Sentinel scar label,1,0.3161838119467307,38300
yecheon_2023,37610110,경상북도,경상북도 봉화군,봉화읍,Sentinel scar label,1,0.31832525903245923,82980
yecheon_2023,37610310,경상북도,경상북도 봉화군,물야면,Sentinel scar label,1,0.2630848037437363,116056
yecheon_2023,37610320,경상북도,경상북도 봉화군,봉성면,Sentinel scar label,1,0.32915967272653973,73876
yecheon_2023,37610330,경상북도,경상북도 봉화군,법전면,Sentinel scar label,1,0.20722346586491136,39308
yecheon_2023,37610340,경상북도,경상북도 봉화군,춘양면,Sentinel scar label,1,0.16635087024945155,107316
yecheon_2023,33570310,충청북도,충청북도 음성군,소이면,Sentinel scar label,1,0.6008952707965663,54140
yecheon_2023,33570320,충청북도,충청북도 음성군,원남면,Sentinel scar label,1,0.4422564215183288,71671
yecheon_2023,33570330,충청북도,충청북도 음성군,맹동면,Sentinel scar label,0,0.9252899692065886,13898
yecheon_2023,33570360,충청북도,충청북도 음성군,생극면,Sentinel scar label,0,0.03276610485409457,12993
yecheon_2023,33590140,충청북도,충청북도 증평군,증평읍,Sentinel scar label,1,0.6553974031655728,53535
yecheon_2023,33590310,충청북도,충청북도 증평군,도안면,Sentinel scar label,1,0.5912018555595495,29313
yecheon_2023,37610380,경상북도,경상북도 봉화군,명호면,Sentinel scar label,1,0.22713969890306923,103129
yecheon_2023,37610390,경상북도,경상북도 봉화군,상운면,Sentinel scar label,1,0.33375551975945894,65445
yecheon_2023,33020530,충청북도,충청북도 충주시,교현·안림동,Sentinel scar label,1,0.6357735141328841,30704
yecheon_2023,33020550,충청북도,충청북도 충주시,용산동,Sentinel scar label,1,0.7139006273545482,1751
yecheon_2023,33044110,충청북도,충청북도 청주시,내수읍,Sentinel scar label,1,0.6366627644955829,15378
yecheon_2023,33044310,충청북도,충청북도 청주시,북이면,Sentinel scar label,0,0.5642829135342895,13262
yecheon_2023,33020110,충청북도,충청북도 충주시,주덕읍,Sentinel scar label,1,0.43379596809947524,51394
yecheon_2023,33020310,충청북도,충청북도 충주시,살미면,Sentinel scar label,1,0.6367204747156399,100295
yecheon_2023,33020320,충청북도,충청북도 충주시,수안보면,Sentinel scar label,1,0.5532736947080487,81156
yecheon_2023,33020340,충청북도,충청북도 충주시,신니면,Sentinel scar label,1,0.26658989246038334,55444
yecheon_2023,33020350,충청북도,충청북도 충주시,노은면,Sentinel scar label,0,0.0,330
yecheon_2023,33020380,충청북도,충청북도 충주시,금가면,Sentinel scar label,1,0.16558153793843536,13043
yecheon_2023,33020390,충청북도,충청북도 충주시,동량면,Sentinel scar label,1,0.3272396004321084,66494
yecheon_2023,33020570,충청북도,충청북도 충주시,문화동,Sentinel scar label,1,0.6817657337312333,1144
yecheon_2023,33020580,충청북도,충청북도 충주시,호암·직동,Sentinel scar label,1,0.6158704849130016,15813
yecheon_2023,33020600,충청북도,충청북도 충주시,달천동,Sentinel scar label,1,0.7579405614348936,25371
yecheon_2023,33020610,충청북도,충청북도 충주시,봉방동,Sentinel scar label,1,0.9619594759961131,4047
yecheon_2023,33020630,충청북도,충청북도 충주시,연수동,Sentinel scar label,0,0.6228913306774553,5641
yecheon_2023,33020640,충청북도,충청북도 충주시,목행·용탄동,Sentinel scar label,1,0.08612862197960355,14943
yecheon_2023,33030310,충청북도,충청북도 제천시,금성면,Sentinel scar label,0,0.0,1131
yecheon_2023,33030340,충청북도,충청북도 제천시,덕산면,Sentinel scar label,1,0.5501695662700513,123905
yecheon_2023,33030350,충청북도,충청북도 제천시,한수면,Sentinel scar label,1,0.5417238709328999,82628
yecheon_2023,33041320,충청북도,충청북도 청주시,미원면,Sentinel scar label,1,0.8040941632271548,143387
yecheon_2023,33041330,충청북도,충청북도 청주시,가덕면,Sentinel scar label,1,0.813842843752282,19293
yecheon_2023,33041350,충청북도,충청북도 청주시,문의면,Sentinel scar label,0,1.0,11
yecheon_2023,33520350,충청북도,충청북도 보은군,삼승면,Sentinel scar label,0,0.6428727607350281,31374
yecheon_2023,33520360,충청북도,충청북도 보은군,수한면,Sentinel scar label,1,0.5627272217109531,54264
yecheon_2023,33520370,충청북도,충청북도 보은군,회남면,Sentinel scar label,1,0.7992210254857076,23133
yecheon_2023,33520380,충청북도,충청북도 보은군,회인면,Sentinel scar label,1,0.8684745720919543,54116
yecheon_2023,33520390,충청북도,충청북도 보은군,내북면,Sentinel scar label,1,0.8495019518136748,70154
yecheon_2023,33520400,충청북도,충청북도 보은군,산외면,Sentinel scar label,1,0.6669842509671747,65085
yecheon_2023,33530110,충청북도,충청북도 옥천군,옥천읍,Sentinel scar label,1,0.5988293927115916,25380
yecheon_2023,33530310,충청북도,충청북도 옥천군,동이면,Sentinel scar label,1,0.6137662840681318,54348
yecheon_2023,33530320,충청북도,충청북도 옥천군,안남면,Sentinel scar label,1,0.613770263771419,35284
yecheon_2023,33530330,충청북도,충청북도 옥천군,안내면,Sentinel scar label,1,0.7969788133527562,70896
yecheon_2023,33530340,충청북도,충청북도 옥천군,청성면,Sentinel scar label,1,0.510613547210662,91028
yecheon_2023,33530350,충청북도,충청북도 옥천군,청산면,Sentinel scar label,1,0.4277769961963082,81048
yecheon_2023,33540320,충청북도,충청북도 영동군,황간면,Sentinel scar label,0,0.7895488949718708,6606
yecheon_2023,33540400,충청북도,충청북도 영동군,심천면,Sentinel scar label,0,1.0,126
yecheon_2023,33550320,충청북도,충청북도 진천군,초평면,Sentinel scar label,0,0.9892529002198487,4310
yecheon_2023,33560110,충청북도,충청북도 괴산군,괴산읍,Sentinel scar label,1,0.4883967304713284,54813
yecheon_2023,33560310,충청북도,충청북도 괴산군,감물면,Sentinel scar label,1,0.5081165054205269,47311
yecheon_2023,33560320,충청북도,충청북도 괴산군,장연면,Sentinel scar label,1,0.5980163079766256,68186
yecheon_2023,33560330,충청북도,충청북도 괴산군,연풍면,Sentinel scar label,1,0.6490220645930357,103647
yecheon_2023,33560340,충청북도,충청북도 괴산군,칠성면,Sentinel scar label,1,0.538365617569599,113523
yecheon_2023,33560350,충청북도,충청북도 괴산군,문광면,Sentinel scar label,1,0.7814962868508846,62234
