variable,positive_n,negative_n,positive_mean,negative_mean,positive_median,negative_median,difference_positive_minus_negative,standardized_difference,status
mean_prob,4,201,0.3152484651056825,0.5589807781181075,0.3182381683035161,0.5641621827477908,-0.24373231301242504,-1.0830224541437887,computed
p90_prob,4,201,1.0,0.9683582090786589,1.0,1.0,0.03164179092134112,0.19563220999821845,computed
unit_area_m2,4,201,59609552.35694364,61497841.19077229,66305247.810348004,59686975.66611429,-1888288.8338286504,-0.044836573282010544,computed
log_unit_area_m2,4,201,17.86473365913975,17.50140428271494,18.009713312795384,17.90462439151515,0.363329376424808,0.29268425420267546,computed
pixel_count,4,201,66158.5,53974.55721393035,73602.5,54264.0,12183.942786069652,0.3033710385657405,computed
mean_elevation_m,4,201,348.27787017822266,224.9800547889216,312.4490203857422,198.05958557128906,123.29781538930106,0.9533532029110171,computed
relief_m,4,201,728.9632110595703,529.5308035096126,708.0370788574219,507.10955810546875,199.4324075499577,0.6548240515396291,computed
